Date,Username,Tweet
2018-11-19T17:39:48+00:00,BCBtigers,"Snaps of Bangladesh team practice session ahead of the first Test against @windiescricket 

https://t.co/LSZUzYkJvG"
2018-11-19T11:46:25+00:00,BCBtigers,"Uncapped opening batsman Shadman Islam has been included in the  Bangladesh squad for the first Test of the two-match series against the  West Indies.

https://t.co/d85ttYJejo"
2018-11-19T11:37:37+00:00,BCBtigers,"The first Test between Bangladesh and @windiescricket will start from November 22 at Jahur Ahmed Chowdhury Stadium, Chattogram.

https://t.co/msD51Qrc9d"
2018-11-19T11:32:38+00:00,BCBtigers,https://t.co/FmZmQ3c4q4
2018-11-19T00:26:02+00:00,BCBtigers,"Bangladesh Women have won the toss and choose to bowl first against South Africa Women.

To watch ICC World Twenty20 LIVE, Download the app from the links below and hit the LIVE Button.

Android: https://t.co/gRrE3kJgYc
iOS:https://t.co/FfYlStljof

#BANvsSA #RiseOfTheTigresses https://t.co/yZ1MOpiS6a"
2018-11-18T16:54:40+00:00,BCBtigers,"Bangladesh Women vs South Africa Women, Group A, Darren Sammy National Cricket Stadium, Gros Islet, St Lucia, West Indies, ICC World Twenty20.

#BANvSA https://t.co/gvbMksX0Vk"
2018-11-18T15:27:24+00:00,BCBtigers,"Happy Birthday to Ariful Haque.
Many many happy returns of the day. https://t.co/AfFSxFu3JJ"
2018-11-18T08:02:11+00:00,BCBtigers,Snaps from the World Children's Day Friendly Cricket Match at Sher-e-Bangla National Cricket Stadium. https://t.co/VBtZeL1UJG
2018-11-17T17:34:19+00:00,BCBtigers,"Highest wicket takers of Bangladesh in Zimbabwe tour of Bangladesh 2018-19 Test series.

#Tigers #RiseofTheTigers #BCB https://t.co/UlbEg09OBI"
2018-11-17T14:49:04+00:00,BCBtigers,https://t.co/lAgNvDgw8B
2018-11-17T12:23:26+00:00,BCBtigers,"The Bangladesh Cricket Board (BCB) announces the squad for the first Test of the two-match series against the @windiescricket

https://t.co/kYE2od9Fuo"
2018-11-17T12:18:20+00:00,BCBtigers,https://t.co/PE2VzHKIkx
2018-11-17T08:08:38+00:00,BCBtigers,"Fixture of Dhaka First Division Cricket League 2018-19. 
9th Round, Group A, 8th Round, Group B.

To Get Score Updates visit https://t.co/lB7bCW4jZq

#BCB #DFDCL https://t.co/A9M3uU3ump"
2018-11-17T04:16:17+00:00,BCBtigers,https://t.co/gFeflJi8Hq
2018-11-15T15:26:49+00:00,BCBtigers,"Watch the Highlights of Bangladeshvs Zimbabwe, 2nd Test, Day 5.

 https://t.co/xNBqhPAszR"
2018-11-15T15:26:18+00:00,BCBtigers,https://t.co/YRQ8e2V5I7
2018-11-15T13:03:56+00:00,BCBtigers,"Snaps of Bangladesh vs Zimbabwe, Second Test, Day 5.

https://t.co/p2YZCqXRBD"
2018-11-15T12:28:58+00:00,BCBtigers,.@TamimOfficial28 and @mushfiqur15 along with @Sah75official are the recipients of the crest and jacket with the official 10K Club emblem of the Bangladesh Cricket Board (BCB) in recognition of completing ten thousand runs across 3 formats. https://t.co/790CzxOi36
2018-11-15T10:09:56+00:00,BCBtigers,Congratulations to Mehidy Hasan Miraz for picking up his fifth 5-wicket haul in Tests.  #BANvZIM https://t.co/ZHPEigghJX
2018-11-15T09:34:47+00:00,BCBtigers,Player of the Series : Taijul Islam. #BANvZIM https://t.co/FIJEedvTnk
2018-11-15T08:47:26+00:00,BCBtigers,Player of the Match : .@mushfiqur15 💪 https://t.co/Hn5KbkGkc7
2018-11-15T08:30:58+00:00,BCBtigers,Bangladesh beat Zimbabwe by 218 runs in the 2nd Test. #BANvZIM https://t.co/hrVuUlIG97
2018-11-15T08:08:02+00:00,BCBtigers,"Fixture of Dhaka First Division Cricket League 2018-19. 
8th Round, Group B.

To Get Score Updates visit https://t.co/lB7bCW4jZq

#BCB #DFDCL https://t.co/xw4OkSyTEI"
2018-11-15T07:40:41+00:00,BCBtigers,"WICKET! 5-wicket haul for Miraz, Zimbabwe are all out for  224. Bangladesh won by 218 runs.

#BANvZIM https://t.co/akAEWcSmST"
2018-11-15T07:28:48+00:00,BCBtigers,"WICKET! Miraz strikes again, Mavuta gone for a duck. Zimbabwe are 213/8 in 81.2 overs. 

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc 
iOS:https://t.co/FfYlStljof

#BANvZIM https://t.co/9PTnKjcSQm"
2018-11-15T07:13:38+00:00,BCBtigers,"WICKET! Third for Miraz, Tripano gone for 0. Zimbabwe are 201/7. Bangladesh need 3 wickets to win.

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc 
iOS:https://t.co/FfYlStljof

#BANvZIM https://t.co/tzIDZVRs7p"
2018-11-15T07:10:27+00:00,BCBtigers,"RUN OUT! Chakabva gone for 2, Zimbabwe are 199/6. Bangladesh need 4 wickets to win.

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc 
iOS:https://t.co/FfYlStljof

#BANvZIM https://t.co/2Te1xdHbwR"
2018-11-15T07:05:58+00:00,BCBtigers,"RUN OUT! Chakabva gone for 2, Zimbabwe are 199/6. Bangladesh need 4 wicket to win.

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc 
iOS:https://t.co/FfYlStljof

#BANvZIM https://t.co/lCthULhumo"
2018-11-15T06:06:27+00:00,BCBtigers,"Lunch, Day 5. Bangladesh need 6 wickets to win. 

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc  
iOS:https://t.co/FfYlStljof  

#BANvZIM https://t.co/KBkR5af2wJ"
2018-11-15T04:47:33+00:00,BCBtigers,"WICKET! Taijul strikes, Sikandar gone for 12. Zimbawbe are 120/4. 

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc  
iOS:https://t.co/FfYlStljof  

#BANvZIM https://t.co/0UxakeqYpb"
2018-11-15T04:42:57+00:00,BCBtigers,"Zimbabwe are 108/3 after 45 overs. Target 443.

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc   
iOS:https://t.co/FfYlStljof   

#BANvZIM https://t.co/pCWA2hxgnn"
2018-11-15T04:16:15+00:00,BCBtigers,"WICKET! Mustafizur gives the first breakthrough of day 5, Williams gone for 13. Zimbawbe are 99/3.

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc 
iOS:https://t.co/FfYlStljof 

#BANvZIM https://t.co/ZENe7fWBLW"
2018-11-15T03:35:00+00:00,BCBtigers,"Match starts on day 5. Zimbabwe to resume their second innings with the overnight score of 76/2, need 367 runs to win. #BANvZIM https://t.co/WA0XFms6jy"
2018-11-15T02:40:26+00:00,BCBtigers,"Watch the Highlights of Bangladesh vs Zimbabwe, 2nd Test, Day 4. 

 https://t.co/rH8y2WPTRc"
2018-11-15T00:07:17+00:00,BCBtigers,"Bangladesh Women lost the match by 25 runs in their third match of ICC World Twenty20 against Sri Lanka Women.

To watch ICC World Twenty20 LIVE, Download the app from the links below and hit the LIVE Button.

Android: https://t.co/gRrE3kJgYc
iOS:https://t.co/FfYlStljof

#BANvSL https://t.co/K4ajNUmBiI"
2018-11-14T20:11:30+00:00,BCBtigers,"Bangladesh Women playing XI against Sri Lanka Women

To watch ICC World Twenty20 LIVE, Download the app from the links below and hit the LIVE Button.

Android: https://t.co/gRrE3kJgYc
iOS:https://t.co/FfYlStljof

#SLvBAN #RiseOfTheTigresses https://t.co/y0jEV2z3cL"
2018-11-14T19:55:23+00:00,BCBtigers,"Bangladesh Women have won the toss and choose to bowl first against Sri Lanka Women in their third match of ICC World Twenty20..

#SLvBAN #RiseOfTheTigresses https://t.co/pmqMeHj4eg"
2018-11-14T19:00:25+00:00,BCBtigers,"Bangladesh Women vs Sri Lanka Women, Group A,
Darren Sammy National Cricket Stadium, Gros Islet, St Lucia, West Indies, ICC World Twenty20.

#BANvSL #RiseOfTheTigresses https://t.co/GGQuFDnraY"
2018-11-14T13:03:18+00:00,BCBtigers,"Bangladesh need 8 wickets to win on the fifth day.

 https://t.co/mCuFLD1Tub"
2018-11-14T11:48:22+00:00,BCBtigers,"Snaps of Bangladesh vs Zimbabwe, Second Test, Day 4.

https://t.co/xAnfe8i0jY"
2018-11-14T11:18:07+00:00,BCBtigers,"Stumps, Day 4. Zimbabwe need 367 runs to win.  #BANvZIM https://t.co/AM0kTTS8mm"
2018-11-14T10:10:33+00:00,BCBtigers,"WICKET! Finally Miraz draws the first blood, Masakadza gone for 25. Zimbawbe are 68/1. Target 443.

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc 
iOS:https://t.co/FfYlStljof

#BANvZIM https://t.co/efLCB2vpBK"
2018-11-14T09:42:07+00:00,BCBtigers,"After 15 overs, Zimbabwe are 47/0. Target 443.

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc  
iOS:https://t.co/FfYlStljof  

#BANvZIM https://t.co/yGFYnTh3hZ"
2018-11-14T08:33:56+00:00,BCBtigers,"Fixture of Dhaka First Division Cricket League 2018-19. 
8th Round, Group A, 8th Round, Group B.

To Get Score Updates visit https://t.co/lB7bCW4jZq

#BCB #DFDCL https://t.co/X85oWKLWPB"
2018-11-14T08:32:46+00:00,BCBtigers,"To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc 
iOS:https://t.co/FfYlStljof

#BANvZIM https://t.co/82d0syKhXs"
2018-11-14T08:25:01+00:00,BCBtigers,"Tea Break, Day 4. Bangladesh set a target of 443 runs for Zimbabwe. 

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc   
iOS:https://t.co/FfYlStljof   

#BANvZIM https://t.co/fUbM6mxshT"
2018-11-14T08:14:28+00:00,BCBtigers,"100! .@Mahmudullah30 brings up his second century in Tests. 

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc   
iOS:https://t.co/FfYlStljof   

#BANvZIM https://t.co/MqAn8Y4Mhu"
2018-11-14T07:47:15+00:00,BCBtigers,"Bangladesh are 159/6 after 45 overs. Lead by 377 runs.

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc 
iOS:https://t.co/FfYlStljof 

#BANvZIM https://t.co/K3nspOPm4j"
2018-11-14T07:08:41+00:00,BCBtigers,"50! .@Mahmudullah30 gets his 16th half-century in Tests. 

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc  
iOS:https://t.co/FfYlStljof  

#BANvZIM https://t.co/lbzABDAY49"
2018-11-14T07:01:28+00:00,BCBtigers,"100 up for Mohammad Mithun and .@Mahmudullah30 in the 5th wicket. 

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc  
iOS:https://t.co/FfYlStljof  

#BANvZIM https://t.co/a22WB9tUsN"
2018-11-14T06:50:20+00:00,BCBtigers,"50! Mohammad Mithun brings up his maiden half-century in Tests. 

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc 
iOS:https://t.co/FfYlStljof 

#BANvZIM https://t.co/dK66GhwThA"
2018-11-14T03:47:05+00:00,BCBtigers,Day 4 starts. Bangladesh to bat in the 2nd innings with the lead of 218 runs. https://t.co/nS0uWcWQuP
2018-11-13T17:58:15+00:00,BCBtigers,"Watch the Highlights of Bangladesh vs Zimbabwe, 2nd Test, Day 3.

 https://t.co/4JkfVpCWsX"
2018-11-13T14:13:35+00:00,BCBtigers,"Bangladesh lead by 218 runs in the first innings.

 https://t.co/dfLEijJ41T"
2018-11-13T13:40:18+00:00,BCBtigers,Congratulations to Taijul Islam for picking up his 6th 5-wicket haul in Tests in the first innings against Zimbabwe. https://t.co/ORwGqLJbaO
2018-11-13T12:31:08+00:00,BCBtigers,"Snaps of Bangladesh vs Zimbabwe, Second Test, Day 3.

https://t.co/UIzs5M5BuB"
2018-11-13T12:20:48+00:00,BCBtigers,"Bangladesh will play their third group match against Sri Lanka Women on November 15.

https://t.co/PhTh4CdB2v"
2018-11-13T12:01:02+00:00,BCBtigers,"Stumps, Day 3. Bangladesh lead by 218 runs. #BANvZIM https://t.co/qniEy0Ws5K"
2018-11-13T10:48:40+00:00,BCBtigers,"WICKET! 5-wicket haul for Taijul, Chakabva gone for 10. Zimbabwe are all out for 304. 

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc 
iOS:https://t.co/FfYlStljof

#BANvZIM https://t.co/fBvpP0NShL"
2018-11-13T10:19:39+00:00,BCBtigers,"WICKET! Back to back strike for Miraz, Mavuta gone for a duck. Zimbabwe are 290/8.

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc  
iOS:https://t.co/FfYlStljof  

#BANvZIM https://t.co/YhWrvVyUgz"
2018-11-13T10:17:07+00:00,BCBtigers,"WICKET! Miraz strikes, Taijul takes a stunner, Taylor gone for 110. Zimbabwe are 290/7.

To watch Zimbabwe tour of Bangladesh LIVE, Download the app from the links below and hit the LIVE Button.

Android:https://t.co/gRrE3kJgYc  
iOS:https://t.co/FfYlStljof  

#BANvZIM https://t.co/vp7UOLcDGl"
