Date,Username,Tweet
2018-12-01T08:35:07+00:00,BCCI,"That's all we've got from the tour game at The SCG. Wickets, runs under the belt and some quality time on the field. Action now shifts to Adelaide #TeamIndia #CAXIvIND https://t.co/j0jXeDRcrd"
2018-12-01T06:07:58+00:00,BCCI,Century for M Vijay! A stylish one at that 🤟🏻🤙🏻😎 #TeamIndia #CAXIvIND https://t.co/CMi4D0uTRR
2018-12-01T05:40:39+00:00,BCCI,Played @mvj888. #TeamIndia 121/1. Vijay 56* #CAXIvIND https://t.co/JM2TEjPWgl
2018-12-01T05:10:53+00:00,BCCI,A century stand between Vijay and Rahul. Rahul brings up a vital half century. Vijay 43*. #TeamIndia 105/0 #CAXIvIND https://t.co/ofWeZINzY0
2018-12-01T03:36:50+00:00,BCCI,"CA XI put up 544 on the board and #TeamIndia are now 22/0 in the second innings. KL Rahul 10*, Vijay 11* #CAXIvIND https://t.co/T9P5VYPNqN"
2018-12-01T03:30:01+00:00,BCCI,Here's wishing @MohammadKaif a very happy birthday. Have a great year ahead 🎂🎂 https://t.co/Pvosaj80tb
2018-12-01T02:02:51+00:00,BCCI,That will be Lunch on the final Day of the tour game against CA XI. CA XI are now 541/9 - lead by 183 #TeamIndia #CAXIvIND https://t.co/poq23NmE4Z
2018-12-01T00:35:42+00:00,BCCI,That moment when the Skip gets a wicket #TeamIndia #CAXIvIND https://t.co/VzuAajdM3E
2018-11-30T15:42:39+00:00,BCCI,"Just for laughs 😅😎

@ashwinravi99 talks about @imVkohli who had a bowl at the SCG today. https://t.co/FcTZAyGqgr"
2018-11-30T06:37:14+00:00,BCCI,"Stumps on Day 3 of the tour game in Sydney.

CXI 356-6, trail India Men (358) by 2 runs (Shami 3/67) https://t.co/jkyXVGuQ5N"
2018-11-30T05:12:47+00:00,BCCI,UPDATE: Prithvi Shaw ruled out of first Test against Australia in Adelaide. Full details here ---&gt; https://t.co/bKZRSodVyR https://t.co/gqFWUJKxNf
2018-11-30T04:58:15+00:00,BCCI,UPDATE -  Prithvi Shaw ruled out of First Test against Australia in Adelaide.
2018-11-30T04:21:54+00:00,BCCI,That will be Tea on Day 3 at The SCG. A run-out and quick wickets has pulled back CA XI to 246/6. We will be back for the final session in a bit #TeamIndia #CAXIvIND https://t.co/tXbKTfEhVW
2018-11-30T01:35:51+00:00,BCCI,That is the end of session 1 here at The SCG. Wicket each for Shami and Ashwin. CA XI 178/2 at Lunch #TeamIndia #CAXIvIND https://t.co/8OYnUKZ3Lk
2018-11-30T00:15:42+00:00,BCCI,Update: The medical team is assessing Prithvi Shaw at the moment. He hurt his left ankle while attempting to take a catch at the boundary ropes. Shaw is being taken to the hospital for scans #TeamIndia https://t.co/PVyCHBO98e
2018-11-29T09:01:24+00:00,BCCI,Young @PrithviShaw already managing to grab eyeballs here in Australia. Fans throng at The SCG for a selfie and autograph from the rising Star of #TeamIndia 🌟😎👌🏻🤙🏻 https://t.co/EvYwGgEMTU
2018-11-29T07:11:40+00:00,BCCI,End of Day's play. CAXI 24/0 in reply to #TeamIndia's 358/9. Join us tomorrow for more from the tour game #CAXIvIND https://t.co/0FonGxYvRM
2018-11-29T06:07:38+00:00,BCCI,"And, that brings an end to the Indian innings. 358/9 in the 1st innings #TeamIndia #CAXIvIND https://t.co/Ub2ropaBFu"
2018-11-29T05:31:13+00:00,BCCI,"Another Indian batsman gets to a half century. @ajinkyarahane88 going strong with 52*. #TeamIndia 343/5, Rohit Sharma 40* #CAXIvIND https://t.co/FHiLgQ2E0i"
