Date,Username,Tweet
2018-11-27T06:29:37+00:00,BCCIWomen,Attacking opening batter @mandhana_smriti has been signed by @HurricanesBBL for the upcoming season.
2018-11-27T06:25:58+00:00,BCCIWomen,"NEWS: @ImHarmanpreet and @mandhana_smriti to appear in @WBBL

Details - https://t.co/YSwExfgV0t"
2018-11-25T05:20:09+00:00,BCCIWomen,Here's wishing @JhulanG10 a very happy birthday  🎂🍰 https://t.co/DkKz2xpdrN
2018-11-23T02:43:56+00:00,BCCIWomen,"India's spirited campaign in the ICC #WT20 comes to an end. England win the 2nd semi-final by 8 wickets and they will meet Australia in the final. 

Details - https://t.co/bnYQfktsLG https://t.co/jaj3Canvjl"
2018-11-23T02:37:43+00:00,BCCIWomen,Semi Final 2. It's all over! England Women won by 8 wickets https://t.co/bnYQfkL4ag #EngvInd #WT20
2018-11-23T02:37:25+00:00,BCCIWomen,"Semi Final 2. 17.1: A Patil to Amy Jones, 4 runs, 116/2 https://t.co/bnYQfkL4ag #EngvInd #WT20"
2018-11-23T02:35:10+00:00,BCCIWomen,"Semi Final 2. 16.4: J Rodrigues to N Sciver, 4 runs, 110/2 https://t.co/bnYQfkL4ag #EngvInd #WT20"
2018-11-23T02:32:20+00:00,BCCIWomen,"Semi Final 2. 15.5: D Sharma to Amy Jones, 4 runs, 102/2 https://t.co/bnYQfkL4ag #EngvInd #WT20"
2018-11-23T02:23:00+00:00,BCCIWomen,"Semi Final 2. 13.1: A Patil to Amy Jones, 4 runs, 83/2 https://t.co/bnYQfkL4ag #EngvInd #WT20"
2018-11-23T02:12:22+00:00,BCCIWomen,"Semi Final 2. 10.2: D Hemalatha to N Sciver, 4 runs, 65/2 https://t.co/bnYQfkL4ag #EngvInd #WT20"
2018-11-23T02:08:53+00:00,BCCIWomen,"Semi Final 2. 9.3: P Yadav to N Sciver, 4 runs, 56/2 https://t.co/bnYQfkL4ag #EngvInd #WT20"
2018-11-23T02:06:36+00:00,BCCIWomen,"Semi Final 2. 8.5: A Patil to N Sciver, 4 runs, 51/2 https://t.co/bnYQfkL4ag #EngvInd #WT20"
2018-11-23T01:54:35+00:00,BCCIWomen,"Two down! Deepti Sharma has picked up her first wicket now and England lose their 2nd wicket for 24. #TeamIndia #WomenInBlue #WT20 

Details - https://t.co/bnYQfktsLG https://t.co/5XkUZ66QaJ"
2018-11-23T01:51:59+00:00,BCCIWomen,"4.5: WICKET! D Wyatt (8) is out, c Jemimah Rodrigues b Deepti Sharma, 24/2"
2018-11-23T01:47:37+00:00,BCCIWomen,"Semi Final 2. 3.5: R Yadav to Amy Jones, 6 runs, 22/1 https://t.co/bnYQfkL4ag #EngvInd #WT20"
2018-11-23T01:40:50+00:00,BCCIWomen,"Just the start India needed. Radha Yadav strikes in her first over and England lose their first wicket for 4 runs. #TeamIndia #WomenInBlue 

Details - https://t.co/bnYQfktsLG https://t.co/klNjyDdPYr"
2018-11-23T01:39:20+00:00,BCCIWomen,"1.3: WICKET! T Beaumont (1) is out, c Arundhati Reddy b Radha Yadav, 4/1"
2018-11-23T01:26:48+00:00,BCCIWomen,"India have been bowled out for 112 in 19.3 overs. The bowlers have delivered in the tournament and will pose a strong challenge as we defend this total. #TeamIndia #WomenInBlue 

Follow the game here - https://t.co/bnYQfktsLG https://t.co/u0o8QThmrZ"
2018-11-23T01:21:14+00:00,BCCIWomen,"19.3: WICKET! D Sharma (7) is out, run out (Danielle Hazell), 112 all out"
2018-11-23T01:18:50+00:00,BCCIWomen,"19.2: WICKET! A Reddy (6) is out, st Amy Jones b Sophie Ecclestone, 112/9"
