Date,Username,Tweet
2018-11-30T03:28:20+00:00,CricketAus,Yesterday was a special day for our @SouthernStars 🏏🏆 https://t.co/XwJKVySNif
2018-11-28T10:42:17+00:00,CricketAus,"Sunday’s World T20 victory was special, so let’s make tomorrow just as good as we welcome our @southernstars home at Federation Square from midday 🏏🏆 https://t.co/E0vABrxbxG"
2018-11-27T02:04:11+00:00,CricketAus,408 https://t.co/bmuyvfaNe1
2018-11-25T03:46:18+00:00,CricketAus,Our @southernstars are World T20 Champions after a stunning performance in today’s final 🏆 https://t.co/lWaAMphN0u
2018-11-25T01:22:02+00:00,CricketAus,Two changes have been made to the Cricket Australia XI for next week's tour match against India in Sydney https://t.co/RBbE3BqcNT https://t.co/SUdqjwonHX
2018-11-24T23:46:29+00:00,CricketAus,"Final words from coach Matthew Mott, with the World T20 Final on the line for the Australian Women's Cricket Team 👏🏻🏏 https://t.co/dMPUdFzpiu"
2018-11-23T01:39:13+00:00,CricketAus,"What a win from our @SouthernStars. Next stop, Sunday’s final 👏🏻🏏 https://t.co/s0zDKL3cwW"
2018-11-22T11:03:50+00:00,CricketAus,"Massive day tomorrow for our Australian Women's Cricket Team. 

Live coverage starts on @foxcricket &amp; 9GEM from 6:30am AEDT 🏏 https://t.co/3W4KCUgTmR"
2018-11-22T01:13:52+00:00,CricketAus,"The Domain Test Series against India starts on December 6 in Adelaide. 

Here’s your squad🏏 https://t.co/rKPVtuWhzW"
2018-11-22T00:22:35+00:00,CricketAus,A message from @aj191 for Australia’s @marcleish and @camsmithgolf in the @WorldCupofGolf in Melbourne... good luck guys! https://t.co/YigvzBUYvc
2018-11-21T05:20:56+00:00,CricketAus,A 12-player Cricket Australia XI squad has been named to take on India in a four-day tour match at the SCG https://t.co/vwkEm3aglK https://t.co/cTTInfHsNX
2018-11-20T05:49:19+00:00,CricketAus,"How good is this! Marcus Stoinis, D’Arcy Short and Ashton Agar are out at Moggill CC in Brisbane ahead of tomorrow’s T20 against India https://t.co/fvqnWiEXAq"
2018-11-20T05:17:19+00:00,CricketAus,Good luck to Aussie legend @Tim_Cahill and the @Socceroos tonight! https://t.co/9iMal2cEzt
2018-11-20T02:12:28+00:00,CricketAus,"The Cricket Australia Board has released a statement in response to the Australian Cricketers' Association submission. 

https://t.co/9RyxC9V1fW https://t.co/H50HMmSSBE"
2018-11-16T09:44:53+00:00,CricketAus,Welcome to the Gold Coast! https://t.co/Go9fY0HmaM
2018-11-11T00:48:26+00:00,CricketAus,Lest we forget. https://t.co/IbLZZEWj1H
2018-11-10T22:42:52+00:00,CricketAus,"Great to see the Aussie boys catching up with @crickettas members last night, ahead of today’s ODI. It’s not too late to get down to Blundstone Arena for the series decider against South Africa, play starts at 1.50pm! https://t.co/7O7ZVY50cT"
2018-11-09T23:51:26+00:00,CricketAus,The early morning was worth it with the first win on the board in the WT20 for the @southernstars 🙌🏻👏🏻 #WT20 #WATCHME https://t.co/QKPPJGUFNf
2018-11-09T18:40:38+00:00,CricketAus,"The countdown is on! 👏🏻 

Tune in on @FoxCricket and @9Gem at 7:00am AEDT #WT20 #AUSvPAK"
2018-11-09T07:19:33+00:00,CricketAus,"The ICC World T20 in Guyana stars overnight, with the Australian Women's Cricket Team beginning their campaign against Pakistan at 7:00am AEDT tomorrow morning (available on Fox Cricket &amp; 9GEM).

Good luck and do us proud! https://t.co/3h4XItOSml"
2018-11-08T08:36:55+00:00,CricketAus,"Driven largely by community cricket clubs, funds raised continue to make an impact on men’s health and assist in Movember’s pursuit to stop men dying too young. Visit https://t.co/ADVTqNrRmJ to donate or find out more."
2018-11-08T08:33:31+00:00,CricketAus,"What a start to #Movember... @MovemberAUS ambassadors @AaronFinch5 and @MStoinis have combined with the Australian Cricket Family to crack a ton, raising over $100K for Movember in only eight days. Thanks for all your support so far! https://t.co/LQ0ytYTucy"
2018-11-08T01:44:22+00:00,CricketAus,Australia's squad for the upcoming Gillette T20Is against South Africa and India has been announced https://t.co/zuuipw5yWj https://t.co/A3Hgon71mN
2018-11-07T01:58:19+00:00,CricketAus,"Cricket Australia has announced changes to its executive team, signalling a new chapter under the leadership of CEO Kevin Roberts https://t.co/dI6ZYC5yif"
2018-11-05T03:09:47+00:00,CricketAus,"Cricket Australia thanks Mark Taylor AO, who has advised the Board of his decision to step down from his role as Director, effective immediately https://t.co/H7HfU9TP1f https://t.co/YDZoUbfwp2"
2018-11-05T00:36:21+00:00,CricketAus,"For Android users, head here: https://t.co/RyHUKe6l1C"
2018-11-04T23:33:51+00:00,CricketAus,Now available on Android too!
