Date,Username,Tweet
2018-12-01T08:15:04+00:00,AusWomenCricket,Aaaand again!
2018-12-01T08:13:46+00:00,AusWomenCricket,Never dull with these two around! 🤣
2018-12-01T00:21:42+00:00,AusWomenCricket,"Oh hey you two!

Missing the cricket action? Fear not! 

WBBL action is BACK with the @ScorchersBBL taking on the @HurricanesBBL now! 

📺: @FoxCricket + @7Cricket 
📻: ABC Radio
💻: https://t.co/zBX6Y231jC
📱: Cricket Australia Live app"
2018-11-29T08:14:17+00:00,AusWomenCricket,"⚡️ “What's next for the Australian Women's Cricket Team? Bring on @WBBL!”

https://t.co/DGl3dWKKmZ"
2018-11-29T08:04:25+00:00,AusWomenCricket,"@WBBL @SixersWBBL @EllysePerry @StrikersWBBL @megan_schutt @RenegadesWBBL @HeatWBBL @Delissak Georgia Wareham ❗

A.K.A, The Wolf! 🐺 

If you saw Wareham’s direct hit in the #WT20 final, you’ll see exactly why she is known as one of the best fielders around! Bring on more of that from the leg-spinner for @RenegadesWBBL we say! https://t.co/np3gHBIQJB"
2018-11-29T08:02:28+00:00,AusWomenCricket,"@WBBL @SixersWBBL @EllysePerry @StrikersWBBL @megan_schutt @RenegadesWBBL Delissa Kimmince 🔥

An incredible story behind the pace of this @HeatWBBL hero!

From working at a pub in England after losing interest in the game, @Delissak played a key role in the bowling attack at the #WT20 and will be looking to do the same this weekend! https://t.co/mdv5ewqCvL"
2018-11-29T08:01:00+00:00,AusWomenCricket,"@WBBL @SixersWBBL @EllysePerry @StrikersWBBL @megan_schutt Tayla Vlaeminck ❗

It’s been a meteoric rise for 20-year-old Tayla Vlaeminck who is miraculously still awaiting a debut for the @RenegadesWBBL! 

After injuries kept her away from the game last year, ‘Gades fans will be pumped to get a glimpse of the raw pace of the youngster! https://t.co/cPKFMD6COg"
2018-11-29T07:59:33+00:00,AusWomenCricket,"@WBBL @SixersWBBL @EllysePerry @StrikersWBBL @megan_schutt Elyse Villani ☄

Better known as ‘Junior’! Not only is  one of the most colourful characters going around, she’s also one of the most dynamic!

Electric with the bat, watch out for her dangerous sweep shot she’ll be sure to pull out for the @ScorchersWBBL this season! https://t.co/QpSD586Pql"
2018-11-29T07:58:16+00:00,AusWomenCricket,"@WBBL @SixersWBBL @EllysePerry Megan Schutt 🎳

Straight-talking Aussie spearhead and the No.1 ranked T20 bowler in the world, ‘Schutter’ will be bringing that fearsome pace to back to the @StrikersWBBL! 

In the form of her life, @megan_schutt is unquestionably a must-watch player this season! https://t.co/dpslbz6xZm"
2018-11-29T07:44:00+00:00,AusWomenCricket,"Young Gracie and her dad jumped on a last-minute flight from Canberra this morning to see her heroes...

Neither of them could've predicted what came next! #WATCHME https://t.co/x2d9G5TLhL"
