Date,Username,Tweet
2018-12-01T23:00:01+00:00,ICC,"A century from Mahmudullah and five wickets from the spin pair of Mehidy Hasan Miraz and Shakib Al Hasan helped Bangladesh acheive a dominant position on Day 2 against the West Indies.

If they avoid defeat, they'll win the series!

#BANvWI REPORT 👇
https://t.co/vFwM5B5PoU https://t.co/tbt3IWnQJV"
2018-12-01T21:00:01+00:00,ICC,"Jofra Archer could pull out of his Hobart Hurricanes Big Bash League deal to help him become available for England selection sooner.

READ 👇
https://t.co/pyqgdZLjBi https://t.co/mwbRg6901K"
2018-12-01T19:00:01+00:00,ICC,"After a brilliant day in the second Test against West Indies, more good news for Bangladesh fans: Tamim Iqbal could return for their next international match!

READ 👇
https://t.co/wwGk2PduAg https://t.co/CnC2t10fei"
2018-12-01T17:00:02+00:00,ICC,"Fakhar Zaman could miss Pakistan's Boxing Day Test against South Africa after sustaining a knee injury.

READ 👇
https://t.co/qFwuufJClS https://t.co/GWp2jMa9cD"
2018-12-01T15:00:01+00:00,ICC,"After an eight-month injury lay-off, New Zealand left-arm spinner Mitchell Santner is almost ready to return to action.

READ 👇
https://t.co/wCNIkQu7Og https://t.co/1nS0eHAcK9"
2018-12-01T13:00:01+00:00,ICC,"""India will start favourites in the Test series. I feel that it is not only because Steve Smith and Warner are not there. It is because this Indian side has the quality.""

VVS Laxman weighs in on #AUSvIND.

READ 👇
https://t.co/emtPleYwIz https://t.co/d1gAxa7EXq"
2018-12-01T11:01:56+00:00,ICC,"What a day for Bangladesh!

After passing 500 thanks to a Mahmudullah century, Mehidy Hasan Miraz and Shakib Al Hasan struck to reduce West Indies to 29/5.

Shimron Hetmyer and Shane Dowrich have lifted the away side to 75/5 at stumps.

#BANvWI SCORE 👇
https://t.co/mJizOuMsqv https://t.co/6fXlhovQxU"
2018-12-01T09:28:06+00:00,ICC,"""We are always striving for the perfect match"" – New Zealand's Tom Latham on the importance of taking the positives from the loss in Dubai.

READ 👇
https://t.co/2SXISlSdkX https://t.co/6N2lNN3xBP"
2018-12-01T08:18:16+00:00,ICC,"Mahmudullah's brilliant 111* takes Bangladesh to 471/8 at tea on Day 2 in Dhaka.

How many more runs can the hosts add in the final session?

#BANvWI LIVE ⬇️
https://t.co/mJizOuuR1V https://t.co/AFqI4oxtjf"
2018-12-01T06:48:50+00:00,ICC,"ICYMI: Afghanistan and Ireland, two newest Test teams, to play a one-off Test in Dehradun, along with three T20Is and five ODIs!

Details 👇
https://t.co/K4PtYuX3Sc https://t.co/EER99ldBHp"
2018-12-01T05:36:33+00:00,ICC,"Fiftes from Mahmudullah and Liton Das take Bangladesh to 387/6 by lunch on the second day in Dhaka. 

#BANvWI LIVE 👇
https://t.co/mJizOuuR1V https://t.co/A7TDW3z9W3"
2018-12-01T05:00:17+00:00,ICC,"""The practice game helped me a lot"" – Bangladesh opener Shadman Islam after scoring 76 on his Test debut against the Windies.

#BANvWI REACTION 👇
https://t.co/diT2YhaVr7 https://t.co/TUCpwZULYD"
2018-12-01T04:00:01+00:00,ICC,"Ravichandran Ashwin thinks Australia are still favourites for their upcoming Test series against India despite the hosts being without Steve Smith and David Warner. 
MORE FROM ASHWIN👇
https://t.co/ZqD77A4xr1 https://t.co/vaPQWPpAk8"
2018-12-01T03:25:15+00:00,ICC,"Bangladesh will resume the second day of the Dhaka Test on 259/5 with Shakib Al Hasan on 55 and Mahmudullah on 31. 

#BANvWI LIVE 👇
https://t.co/mJizOuuR1V https://t.co/ImsQaqflOI"
2018-12-01T02:00:01+00:00,ICC,"Happy birthday to Sarfraz Nawaz!

Nawaz famously took 9/86 against Australia in Melbourne in 1979, the second best figures by a Pakistani Test match bowler. https://t.co/ydR1i0SoI7"
2018-12-01T00:00:02+00:00,ICC,"Happy birthday to Arjuna Ranatunga!

Ranatunga captained Sri Lanka to @cricketworldcup glory in 1996. https://t.co/vhUDaPT3a6"
2018-11-30T22:00:01+00:00,ICC,"Former Australian batsman Dean Jones has warned the current Australia team not to provoke Virat Kohli on the field in their upcoming Test series against India.

MORE FROM JONES👇
https://t.co/LEzIls4yNe https://t.co/0Yb1cqd6sJ"
2018-11-30T20:00:01+00:00,ICC,"Congratulations to Mushfiqur Rahim for becoming the second Bangladeshi cricketer to pass 4,000 Test runs 👏👏👏 https://t.co/GxeF4HIuT7"
2018-11-30T18:00:01+00:00,ICC,"Happy birthday to Samit Patel!

The all-rounder has made 60 international appearances for England. https://t.co/YJlGK09POA"
2018-11-30T16:00:02+00:00,ICC,"Dale Steyn, at the age of 35, is keen to use to his experience of playing in England to help him and his team in next year's @cricketworldcup.

FULL STORY👇
https://t.co/bk8HI3IPmc https://t.co/hXRtfqeRto"
2018-11-30T14:00:01+00:00,ICC,"Afghanistan are set to play Ireland in a one-off Test in March 2019. 

It will be both country's second ever Test match. 

MORE INFO👇
https://t.co/K4PtYveFgM https://t.co/Q4LbqCOakY"
2018-11-30T12:00:01+00:00,ICC,"On this day in 1988, Phil Hughes was born. 

In 2009, he became the youngest player to score a hundred in each innings of a Test, doing so against a formidable South African attack in Durban.

#63NotOutForever https://t.co/fhcWzJj834"
2018-11-30T11:06:01+00:00,ICC,"It was honours even after a tight opening day between Bangladesh and the Windies in Mirpur.

#BANvWI | REPORT👇
https://t.co/10uJvzYtPh https://t.co/L6ctbeSPKR"
2018-11-30T09:14:20+00:00,ICC,"The Hundred – set to be a reality.

@ECB_cricket is expected to have 'a series of meetings in January 2019' to furnish further details of the competition.

➡️ https://t.co/fwYeni5qj4 https://t.co/XNM0fA0bNI"
2018-11-30T08:16:06+00:00,ICC,"Windies pick up three wickets in the second session but debutant Shadman Islam's 76 lifts Bangladesh to 175/4 on the first day in Dhaka.

#BANvWI LIVE ⬇️
https://t.co/mJizOuuR1V https://t.co/3mcWvvIyXO"
2018-11-30T06:30:54+00:00,ICC,"""I'm going with him to be the leading run-scorer"" – Ricky Ponting is backing Usman Khawaja to ""just pip"" Virat Kohli in the upcoming #AUSvIND Test series.

READ ⬇️
https://t.co/2ifEh3MpHZ https://t.co/J8akTos4hR"
2018-11-30T06:00:01+00:00,ICC,"#OnThisDay in 1998, Zimbabwe secured their first-ever overseas Test victory, at the 15th attempt. Neil Johnson and Murray Goodwin starred with the bat, and Heath Streak and Henry Olonga claimed four wickets each with the ball, to seal a memorable win. https://t.co/oVML8I3Cdi"
2018-11-30T05:47:52+00:00,ICC,"Bangladesh lose Mominul Haque right before lunch but debutant Shadman Islam has done well to get to 36 on the opening day of the Dhaka Test.

The hosts are on 87/2.

#BANvWI LIVE ⬇️
https://t.co/mJizOuuR1V https://t.co/Ay4rVteOmj"
