Date,Username,Tweet
2018-12-01T09:35:48+00:00,cricketireland,"ICYMI: Irish cricket legend Ed Joyce talks about his career and being a ""one Test wonder"" on @TheSports_Chron -- read here: https://t.co/EaXb6VPNVa

#BackingGreen #EdJoyce #cricket https://t.co/ROeYWkyokl"
2018-11-30T16:16:12+00:00,cricketireland,.@ESPNcricinfo quite cleverly spots that the first day of the Test match is St Patrick's Day: https://t.co/MuGdu9QlwS #BackingGreen https://t.co/ELqTt2d3Il
2018-11-30T13:44:42+00:00,cricketireland,@weedy50weedy We haven't announced our summer home fixtures yet (England ODI aside). Plenty of international cricket coming our way. 🙂
2018-11-30T13:12:35+00:00,cricketireland,"Are you visiting India in February/March next year? If you're in the neighbourhood, so are we!

https://t.co/uHGyNQTG70

#BackingGreen"
2018-11-30T11:36:18+00:00,cricketireland,@el_cee17 Too far out to know at this stage. ACB will advise details closer to the tour. Fingers crossed. 🤞
2018-11-30T10:34:40+00:00,cricketireland,https://t.co/Hdh1fBx5q5 #BackingGreen
2018-11-30T10:24:46+00:00,cricketireland,"👀 WATCH: @KevinOBrien113 interview on @The42_ie -- https://t.co/GrGPydhBWQ

#BackingGreen"
2018-11-30T10:18:12+00:00,cricketireland,NEWS: @KaneTyrone heading back to Dublin for treatment ahead of the Ireland Wolves tour -- https://t.co/HWGqTt46TP #BackingGreen
2018-11-30T09:27:08+00:00,cricketireland,"➡️ NEWS: Ireland's @balbo90 talks about the upcoming Afghanistan series as tour dates and venue details are released: https://t.co/Erba6XHhgO

#BackingGreen #IREvAFG  ☘️ 🏏 https://t.co/XwuDqmUszs"
2018-11-30T08:42:15+00:00,cricketireland,"👀 GREAT READ: Irish cricket legend Ed Joyce talks about his career and being a ""one Test wonder"" on @TheSports_Chron -- read here: https://t.co/EaXb6VPNVa

#BackingGreen #EdJoyce #cricket https://t.co/61tnJ7sH2y"
