Date,Username,Tweet
2018-11-29T22:25:08+00:00,IrishWomensCric,@HurricanesBBL @Raacky2 @WorldT20 @Irelandcricket Look after her for us! https://t.co/ukq7ekXQsP
2018-11-26T13:57:53+00:00,IrishWomensCric,Our wonderful four retirees one of @C_Edwards23 memorable moments of #WT20. Deserved recognition for their contribution to Irish women’s cricket. 👍☘️🏏
2018-11-21T15:22:24+00:00,IrishWomensCric,"ICYMI: Watch @meljones_33 interview our four retirees after the last @WorldT20 match (starts at the 6'18"" mark) -- https://t.co/LumPeupt08

#BackingGreen https://t.co/UHnqn6Jhdw"
2018-11-21T15:18:52+00:00,IrishWomensCric,That was certainly a great spell by our @lucyoreilly991! 💪💪💪
2018-11-18T18:30:07+00:00,IrishWomensCric,Guyana has been a great experience for all. Farewell for now.
2018-11-18T16:48:13+00:00,IrishWomensCric,"Praise for the careers and achievements of @izzyjoyce, @CeceliaJoyce44, @ShillersC and @CiaraJMetcalfe from Cricket Ireland: https://t.co/O9C3Mpd5Y2

#BackingGreen https://t.co/bH30X8AVgx"
2018-11-18T12:31:26+00:00,IrishWomensCric,https://t.co/jzs65D8F8h
2018-11-17T23:18:45+00:00,IrishWomensCric,"The wonderful @meljones_33 with our four retirees:

@CiaraJMetcalfe 
@izzyjoyce 
@CeceliaJoyce44 
@ShillersC 

Thanks to each of you for your dedication and commitment to Irish cricket. You’re a role model to many.

#BackingGreen https://t.co/OpkArziO4i"
2018-11-17T23:11:12+00:00,IrishWomensCric,.@izzyjoyce and @CeceliaJoyce44 announcing their retirement tonight. What great servants of Irish women’s cricket. Huge loss but respect to both for fantastic careers. #BackingGreen #WT20 https://t.co/0vSQseJYYV
2018-11-17T21:48:43+00:00,IrishWomensCric,"A guard of honour, and very well deserved too: https://t.co/yBBOg4lQeu

#BackingGreen #WT20 https://t.co/REPhadkHcB"
2018-11-17T21:32:42+00:00,IrishWomensCric,A confident innings by @lewis_gaby of 39 today followed on from her 61 against the same side in a T20I in June this year. #BackingGreen #WT20 #IREvNZ https://t.co/5rHGTVUhEd
2018-11-17T21:28:12+00:00,IrishWomensCric,"Between innings.
#BackingGreen #WT20 #IREvNZ https://t.co/hGUVd1IvMq"
2018-11-17T21:25:44+00:00,IrishWomensCric,"END OF INNINGS: At the end of 20 overs, we finished on 79-9. Live scorecard here: https://t.co/x8mSaCcHd3

#BackingGreen #WT20 #IREvNZ https://t.co/pzFuxw3VxB"
2018-11-17T20:46:11+00:00,IrishWomensCric,Lights are on at the National Stadium here in Guyana. #BackingGreen #WT20 #IREvNZ https://t.co/9HNGYVMJip
2018-11-17T20:31:41+00:00,IrishWomensCric,"After losing two quick wickets, we are now 33-3 after eight overs. #BackingGreen #WT20 #IREvNZ ☘️🏏 https://t.co/PqJ9ypKaB0"
2018-11-17T20:24:13+00:00,IrishWomensCric,"At the end of the powerplay, Ireland is 28-1. @ShillersC 11*, @lewis_gaby 12*. Live scorecard: https://t.co/x8mSaCcHd3

#BackingGreen #WT20 #IREvNZ"
2018-11-17T20:11:21+00:00,IrishWomensCric,"Our squad. #respect 

#BackingGreen #WT20 https://t.co/NPGxpdoO6j"
2018-11-17T20:04:00+00:00,IrishWomensCric,"👀  WATCH: Captain @lauradel14 delivers the pre-game team talk -- https://t.co/MTfEi11sAq

#BackingGreen #WT20 #IREvNZ ☘️🏏 https://t.co/3bUi5Rprav"
2018-11-17T19:56:36+00:00,IrishWomensCric,"The Ireland team for today's fourth Group Stage match:

🏏 Laura Delany
🏏 Kim Garth
🏏 Cecelia Joyce
🏏 Isobel Joyce
🏏 Shauna Kavanagh
🏏 Gaby Lewis
🏏 Lara Maritz
🏏 Ciara Metcalfe
🏏 Eimear Richardson
🏏 Clare Shillington
🏏 Mary Waldron

#BackingGreen #WT20 #IREvNZ https://t.co/YQUuJxTq0S"
2018-11-17T19:53:39+00:00,IrishWomensCric,Captain @lauradel14 won her third toss of the tournament and we’ll bat first here in Guyana. #BackingGreen #WT20 #IREvNZ ☘️🏏 https://t.co/kdKoPD2Q2y
2018-11-17T19:04:06+00:00,IrishWomensCric,"Good luck to @IrishRugby as you take on New Zealand at home, while we face New Zealand in Guyana in an hour. 🏏☘️🏉

#BackingGreen"
2018-11-17T19:03:51+00:00,IrishWomensCric,"We’re here.

#BackingGreen #WT20 #IREvNZ ☘️🏏 https://t.co/Tx984MIIG9"
2018-11-17T16:06:00+00:00,IrishWomensCric,"A @hairyandbrains moment.

#BackingGreen #WT20 🏏☘️ https://t.co/XpYzgEIcaG"
2018-11-17T15:38:39+00:00,IrishWomensCric,"Aerial photo of the National Stadium in Georgetown, Guyana - base for our Group Stage matches at the @WorldT20. #BackingGreen #WT20

📸: @bernie_omara https://t.co/MBd48pdF6k"
2018-11-17T15:36:19+00:00,IrishWomensCric,"Enjoying watching the Ireland Women's team playing and training at the @WorldT20? Why not try cricket yourself? Or do you have a child looking to try a new sport? 

👉 Read more here, thanks to @Herdotie: https://t.co/FGFeRoKmqG

#BackingGreen #WT20 https://t.co/qYpgtw15kC"
2018-11-17T14:47:17+00:00,IrishWomensCric,@CharlesDagnall @lydiagreenway @kevinhowells7 Great team! 👍
2018-11-17T14:39:57+00:00,IrishWomensCric,"We’re ready.

#BackingGreen #CantSeeCantBe #20x20 ☘️🏏 https://t.co/xcXpOGYLjV"
2018-11-17T14:19:00+00:00,IrishWomensCric,"Gonna miss these police escorts through traffic. Wonder if we can arrange them back in Dublin? 😂

#BackingGreen #WT20 https://t.co/lfgGiyzNnn"
2018-11-17T11:57:41+00:00,IrishWomensCric,"Today’s Group Stage match (our last!) at the @WorldT20 between Ireland and New Zealand starts at 4pm (local time) or 8pm (GMT). In Ireland / UK you can watch us on Sky Sports. ☘️🏏

#BackingGreen #WT20 #CantSeeCantBe #20x20 https://t.co/BQGXR3G9vP"
2018-11-17T11:34:20+00:00,IrishWomensCric,"👀  READ: Over 40 years of experience: Two Irish cricket legends to bow out against New Zealand -- https://t.co/0ZxiiSJWWH

#BackingGreen #WT20 https://t.co/yRH2YOk0Pk"
2018-11-17T11:21:21+00:00,IrishWomensCric,"WATCH: Match preview for today's last Group Stage match between Ireland and New Zealand -- https://t.co/GHtDUyEbmK 

#BackingGreen #WT20 #IREvNZ https://t.co/oxhbb4tE1l"
2018-11-16T21:37:34+00:00,IrishWomensCric,"It’s a spectacular old ground. #Bourda 

#BackingGreen #WT20 ☘️🏏 https://t.co/jqYBt4awZq"
2018-11-16T21:34:16+00:00,IrishWomensCric,"Some good batting practice at Bourda Cricket Ground. 

#BackingGreen #WT20 🏏☘️ https://t.co/7QnXGnwZmf"
2018-11-16T21:31:40+00:00,IrishWomensCric,"Training at the historic Bourda Cricket Ground. Another day in #Cricket life

#BackingGreen #WT20 ☘️🏏 https://t.co/zoNZrMxjAo"
2018-11-16T21:28:43+00:00,IrishWomensCric,"Training day...but this time we were at the historic Bourda Cricket Ground in Georgetown. Amazing history attached to this place. 

#BackingGreen #WT20 🏏☘️ https://t.co/oqyONlTQuO"
2018-11-16T16:18:42+00:00,IrishWomensCric,"Behind-the-scenes: we catch up with @LaraMaritz12 and @rebeccastokell3 to chat about their first world cups, the tournament and...where the best foot massages are.

#BackingGreen #WT20 https://t.co/3dzB7WpUlD"
2018-11-15T23:39:36+00:00,IrishWomensCric,https://t.co/E6djIQz2iW
2018-11-15T22:35:06+00:00,IrishWomensCric,MATCH REPORT: Ireland fall short in run chase against India -- https://t.co/eglNtMy2Cq #BackingGreen #WT20 #INDvIRE https://t.co/KBUq6R14bU
2018-11-15T17:48:39+00:00,IrishWomensCric,We think she's incredible too! 😀
2018-11-15T17:47:30+00:00,IrishWomensCric,"At the end of 14 overs, we are 66-2. @izzyjoyce 20*, @lauradel14 7*. Live scorecard: https://t.co/sgWMna7Iig

#BackingGreen #WT20 #INDvIRE https://t.co/q4XM62EaIn"
2018-11-15T17:44:59+00:00,IrishWomensCric,"A local choir certainly adding to the occasion! 👍

#BackingGreen #WT20 #INDvIRE https://t.co/94zosD3rGk"
2018-11-15T17:38:37+00:00,IrishWomensCric,"If you tune into @BBCSport radio shortly you’ll hear an interview with @thelewdog50! 

#BackingGreen #WT20"
2018-11-15T17:30:24+00:00,IrishWomensCric,"Alas @ShillersC is gone stumped. Another good innings, this time 23 off 22. Captain @lauradel14 joins @izzyjoyce. #BackingGreen #WT20 #INDvIRE https://t.co/2LLqEPOOFT"
2018-11-15T17:14:42+00:00,IrishWomensCric,"Some of the entertainment around the game. 

#BackingGreen #WT20 
#INDvIRE 
☘️🏏💃 https://t.co/wvOiHbdVl4"
2018-11-15T17:11:11+00:00,IrishWomensCric,@kjgalvin93 @Irelandcricket 👍 Good one Kevin!
2018-11-15T17:09:40+00:00,IrishWomensCric,"Shot @ShillersC. Away through the on-side for four. Ireland 27-0 after five overs. Live scorecard: https://t.co/sgWMna7Iig

#BackingGreen #WT20 #INDvIRE https://t.co/cCNomqEm5A"
