Date,Username,Tweet
2018-12-01T06:15:27+00:00,BLACKCAPS,Our 2018-19 Ford Trophy CHAMPIONS the @wgtnfirebirds! #FordTrophy 📷= @PhotosportNZ https://t.co/19unrciQ0p
2018-12-01T05:38:53+00:00,BLACKCAPS,The @wgtnfirebirds are our Ford Trophy CHAMPIONS! tight stuff at University of Otago Oval against the @OtagoVolts. Real stay in the fight stuff for both teams.  Firebirds take the Grand Final by 3 wickets. Scorecard | https://t.co/Mnway81sYp https://t.co/j6L3mxccGB
2018-12-01T04:43:25+00:00,BLACKCAPS,50 for Malcolm Nofal. Is he the man to lead the @wgtnfirebirds to Ford Trophy glory? The @OtagoVolts putting pressure on with the ball. LIVE scoring | https://t.co/Mnway81sYp #FordTrophy https://t.co/vMysu1jH0W
2018-12-01T02:54:24+00:00,BLACKCAPS,Two early wickets for the @OtagoVolts to put some pressure on the @wgtnfirebirds chase inside the first 10. Wellington 44/2 after 10 in the Grand Final Pollard 27* Bracewell 0*. LIVE scoring | https://t.co/Mnway81sYp #FordTrophy https://t.co/pyFRQfTTFb
2018-12-01T01:52:43+00:00,BLACKCAPS,Will the @wgtnfirebirds be celebrating later? The team from Wellington will be after 235 to win the Ford Trophy. Earlier in the competition they fell short at the same ground chasing 219 to win v @OtagoVolts. Scorecard | https://t.co/Mnway81sYp #FordTrophy 📷= @PhotosportNZ https://t.co/QNFAAnN7cQ
2018-12-01T01:44:20+00:00,BLACKCAPS,Impressive stuff from the @OtagoVolts lower order. Rippon 82 and Viljoen 87* combining to help their side bat out their 50 overs after being in serious trouble. @wgtnfirebirds will need 235 to win the Ford Trophy. Scorecard | https://t.co/Mnway81sYp #FordTrophy https://t.co/q4WpNVJ4kP
2018-11-30T23:07:00+00:00,BLACKCAPS,Change in the bowling attack but the wickets keep coming for the @wgtnfirebirds. McPeake gets the set Broom after the early damage from Bennett and Newton. LIVE scoring | https://t.co/Mnway81sYp #FordTrophy https://t.co/8AQxdpY6tw
2018-11-30T22:22:43+00:00,BLACKCAPS,An early wicket for Ollie Newton and the @wgtnfirebirds but then runs for Brad Wilson and Neil Broom to help the @OtagoVolts. 19/1 after 5. LIVE scoring | https://t.co/Mnway81sYp #FordTrophy https://t.co/DO0PAORKzG
2018-11-30T21:58:38+00:00,BLACKCAPS,We are nearly ready for the Ford Trophy Grand Final! The @OtagoVolts batting first after winning the toss against the @wgtnfirebirds. You can follow LIVE scoring here | https://t.co/Mnway81sYp Or with @skysportnz &amp; @radiosportnz #FordTrophy https://t.co/DQo71Vd8qX
2018-11-30T21:42:31+00:00,BLACKCAPS,"Rain up north at Cobham 🌧️ 
India A 248/4
CARD: https://t.co/ZDoWdJtkod"
2018-11-30T08:04:45+00:00,BLACKCAPS,All the details from a busy day at Cobham Oval in the final first-class match between New Zealand A and India A. Report | https://t.co/smnk3wuueJ #NZAvINDA
2018-11-30T02:30:33+00:00,BLACKCAPS,"@KJBeardsmore @OtagoVolts @Lovedunedin Hi Kane, the match is LIVE on @skysportnz 1 and @radiosportnz with the first ball at 11am. ^BM"
2018-11-30T02:28:48+00:00,BLACKCAPS,India A with an opening stand of 98 at Cobham Oval before wickets for New Zealand A. Doug Bracewell now with 2 and Blair Tickner 1. LIVE scoring | https://t.co/ZDoWdJtkod #NZAvINDA https://t.co/naeNQGk3E8
2018-11-30T01:52:22+00:00,BLACKCAPS,Different kinds of prep going in ahead of tomorrow's Ford Trophy Grand Final at University of Otago Oval. #FordTrophy https://t.co/9RUKcvgNuR
2018-11-29T22:20:25+00:00,BLACKCAPS,Learn more about one of the stars of the @OtagoVolts Ford Trophy campaign with @adrianseconinz and @odtnews. Tomorrow's Grand Final at University of Otago Oval will be LIVE on @skysportnz &amp; @radiosportnz. Story | https://t.co/KWJbzj8umw #FordTrophy
2018-11-29T22:07:19+00:00,BLACKCAPS,Underway at Cobham Oval in the final first-class fixture between NZ A and India A. Doug Bracewell opening up with the ball after India A elected to bat first. LIVE scoring | https://t.co/ZDoWdJKVfL #NZAvINDA https://t.co/9f5Rn66eiP
2018-11-29T20:50:49+00:00,BLACKCAPS,Check in with @JimmyNeesh &amp; the @wgtnfirebirds as they prepare for tomorrow's Ford Trophy Grand Final against the @OtagoVolts. The Grand Final will be LIVE on @skysportnz &amp; @radiosportnz. Story | https://t.co/V0hZsX45nk #FordTrophy https://t.co/INPq6be0MM
2018-11-28T20:54:46+00:00,BLACKCAPS,ICYMI - How the @wgtnfirebirds won their place in the Ford Trophy Grand Final.  The @OtagoVolts will host Saturday's final which is LIVE on @skysportnz. Report | https://t.co/pRg6zp5Isb #FordTrophy https://t.co/JPYZeU1Xnm
2018-11-28T19:22:37+00:00,BLACKCAPS,"Amongst the disappointment of the 2nd Test, our number five continued to climb in his career ⭐️ #PAKvNZ https://t.co/Z3PiOOFT0g"
2018-11-28T05:38:46+00:00,BLACKCAPS,Jimmy Neesham books the @wgtnfirebirds place in the Ford Trophy Grand Final with a flourish! 120 off 107 to lead the chase v @aucklandcricket. The Firebirds will meet the @OtagoVolts in Saturday's Grand Final in Dunedin. Scorecard | https://t.co/RRwHzxhlzq #FordTrophy https://t.co/McFWhLhNBb
2018-11-28T05:17:04+00:00,BLACKCAPS,Jimmy Neesham has a 💯 but then we have a run out! Neesham remains and is joined by Newton. @wgtnfirebirds 213/7 chasing 237 to defeat @aucklandcricket in the Elimination Final. LIVE video scoring | https://t.co/RRwHzxhlzq #FordTrophy https://t.co/6z5dmL0eSP
2018-11-28T04:00:32+00:00,BLACKCAPS,More drama in the Elimination Final for the @wgtnfirebirds and @aucklandcricket? Bracewell dismissed by Lister with Wellington now 128/4 needing 237 to win. Neesham still in on 33* LIVE video scoring | https://t.co/RRwHzxhlzq #FordTrophy https://t.co/bLmZq7tzu9
