Date,Username,Tweet
2018-12-01T07:50:05+00:00,TheRealPCB,"One of the pioneers of reverse-swing, he once bowled a spell of 7 wickets for 1 run as he took 9 for 86 v Australia - Happy Birthday to Sarfraz Nawaz! https://t.co/CvbvFHSI1j"
2018-12-01T07:40:50+00:00,TheRealPCB,"Test cap number 186, 78 wickets in international cricket, a member of 2009 #WT20 winning squad. Happy Birthday @IftiRao. https://t.co/s9l9brLzp3"
2018-12-01T05:54:43+00:00,TheRealPCB,Triangular One-Day Women's Cricket Championship 2018 https://t.co/3vp2S1Rt0T
2018-11-30T11:28:10+00:00,TheRealPCB,"Two pacers, Mohammad Abbas and @WahabViki, who are brilliant with the new ball and old ball but can they be good at Ultay Kaam as well? Let's find out in this episode of @HemaniHerbalPK presents #UltayKaam
 https://t.co/F38dLDNYWO"
2018-11-29T16:24:10+00:00,TheRealPCB,Skills 2 Shine Program U17 Trials - Lahore City https://t.co/HvkfgMXqkL
2018-11-29T13:37:51+00:00,TheRealPCB,The Pakistan duo of Babar Azam and Yasir Shah are big movers in the latest ICC Test Rankings. https://t.co/pIICLJQDjJ
2018-11-29T11:42:16+00:00,TheRealPCB,Pakistan squad announced for Emerging Teams Asia Cup 2018 to Co-Host by Pakistan and Sri Lanka https://t.co/RdvyENeluW
2018-11-29T05:00:53+00:00,TheRealPCB,"#OnThisDay in 1984, Javed Miandad posted his second 100 of the Hyderabad Test against New Zealand. Javed's feat made him the second Pakistani batsman after Hanif Mohammad to score twin 100s in a Test match. https://t.co/XA6pbzxuOP"
2018-11-29T03:15:07+00:00,TheRealPCB,"313
267
218
213
200*
200*
199
194
177
175*
173
171*
153
149*
148
147
136
131*
130
127
127
126
124
122
119
118
116
111
107*
107
106
106
103*
100*
Happy Birthday to Pakistan's greatest Test batsman, Younis Khan! https://t.co/KszgRBbkwW"
2018-11-28T15:10:14+00:00,TheRealPCB,PCB's Women Wing holds the first Zonal Staff Seminar https://t.co/EuNr5R9SR2 https://t.co/aWmbudFIQf
2018-11-28T12:50:49+00:00,TheRealPCB,Pakistan to Co-Host Emerging Teams Asia Cup with Sri Lanka in December 2018 https://t.co/8PwaWqJUYa
2018-11-28T12:50:23+00:00,TheRealPCB,PCB's Women Wing holds the first Zonal Staff Seminar https://t.co/EuNr5R9SR2
2018-11-28T09:55:46+00:00,TheRealPCB,"The best bowling attacks in Test cricket (2018)! Have a look at the table toppers 👏
#PakVsNZ https://t.co/HXildLbQ5K"
2018-11-27T16:18:59+00:00,TheRealPCB,"Highlights | Pakistan vs. New Zealand Second Test Day Four.
#PAKvNZ https://t.co/5DLMVvDWdB"
2018-11-27T15:07:15+00:00,TheRealPCB,"England Lions beat Pakistan A in the second One Day match by 6 wickets.
https://t.co/0GXblNtzGn"
2018-11-27T15:04:21+00:00,TheRealPCB,"Pakistan 15-member Test squad for 3rd Test match against New Zealand in Abu Dhabi.
#PAKvNZ https://t.co/3Ib4tJAesd"
2018-11-27T13:47:25+00:00,TheRealPCB,"15-member squad for the third  #PAKvNZ Test at Abu Dhabi.

Muhammad Hafeez
Imam Ul Haq
Azhar Ali 
Haris Sohail
Asad Shafiq
Baber Azam
Saad Ali
Sarfraz Ahmad. (Captain)
Yasir Shah
Bilal Asif
Muhammad Abbas
Hassan Ali
Shaheen Shah Afridi
Faheem Ashraf
Mir Hamza https://t.co/neSDhPf3FK"
