Date,Username,Tweet
2018-12-01T12:42:32+00:00,OfficialSLC,"Sri Lanka Squad for the ACC Emerging Teams Cup 2018
Charith Asalanka – Capt
Shammu Ashan
Kamindu Mendis
Avishka Fernando
H Boyagoda
S Weerakkody
Asela Gunaratne
Nishan Madushka
J Vandersay
L Ambuldeniya
Nishan Peiris
S Madushanka
Asitha Fernando
J Daniel
Chamika Karunaratne"
2018-12-01T12:34:29+00:00,OfficialSLC,"Mr. Chandika Hathurusingha has informed SLC that he has not applied for the ‘Head Coach’ position of the West Indies Cricket Board. 
Read More: https://t.co/b9wXK9Z5ZD https://t.co/tq3CGjbtzL"
2018-12-01T05:23:28+00:00,OfficialSLC,"Happy Birthday to the 1996 World Cup winning captain, Arjuna Ranatunga!

During an 18 year international career, he scored 5,105 Test runs and 7,456 ODI runs. #Legend #96Legend https://t.co/Y1IzHaQeDV"
2018-11-30T07:05:42+00:00,OfficialSLC,Sri Lanka tour of New Zealand 2018/19 - Test Squad! #SLvNZ #NZvSL https://t.co/213AZe4wUx
2018-11-30T06:53:49+00:00,OfficialSLC,"Sri Lanka tour of New Zealand Test squad:  
Dinesh Chandimal – Capt
D Karunaratne – VC
Kusal Mendis
Dhananjaya De Silva
A Mathews
Roshen Silva
N Dickwella
D Gunathilaka
Lahiru Thirimanne
S Samarawickrama
Dilruwan Perera
L Sandakan
S Lakmal
N Pradeep
K Rajitha
L Kumara
D Chameera https://t.co/n4bPgdihIA"
2018-11-29T07:48:20+00:00,OfficialSLC,"WATCH: Back to Back 50’s by @IamDimuth, 🏏 2nd Test Match, Sri Lanka vs England Series 2018 👉 https://t.co/qGr4I61N84 #SlvENG"
2018-11-28T09:17:17+00:00,OfficialSLC,"Sri Lanka will Co-host the ‘Emerging Teams Asia Cup 2018’, along with Pakistan, which will have 8 teams, competing in two groups.
READ: https://t.co/ycfNxtmzhs"
2018-11-28T06:36:23+00:00,OfficialSLC,The International Cricket Council (ICC) confirmed it has submitted a bid for the inclusion of T20 women’s cricket into the Commonwealth Games in Birmingham 2022. - https://t.co/EDHgyjGDET via @ICC
2018-11-26T10:07:57+00:00,OfficialSLC,"England beat Sri Lanka by 42 runs and clinch the Test series 3-0.
ENG 336 &amp; 230 vs SL 240 &amp; 284-all out (86.4 Ovs) Kusal Mendis 86, Roshen Silva 65, Pushpakumara 42* : Jack Leach 4/72, Moeen Ali 4/92 #ENGvSL https://t.co/IfHbO6VVWu"
2018-11-26T09:44:30+00:00,OfficialSLC,"Day 4: Tea - Sri Lanka need 43 runs to win, SL 240 &amp; 284/9 (86.0 Ovs) Pushpakumara 42*, Lakmal 11* #SLvENG"
2018-11-26T06:34:15+00:00,OfficialSLC,"Day 4 Lunch, Sri Lanka 240 &amp; 164/5 (48 ovs) Kusal Mendis on 77, Roshen Silva on 37. Sri Lanka need 163 runs to win. 
LIVE ON:https://t.co/pl3uiWNN9K (Only in SL) #SLvENG https://t.co/4ajCdYcf0y"
2018-11-26T04:34:34+00:00,OfficialSLC,"3rd Test, Day 4 - England tour of Si Lanka - 
LIVE ON:https://t.co/pl3uiWNN9K #SLvENG"
2018-11-25T13:46:18+00:00,OfficialSLC,"New Selection Panel appointed - https://t.co/AFvmgqAiNB
Minister of Sports Hon.Faiszer Musthapa, as per the recommendations of the Cricket Advisory Committee appointed a new National Selection Panel.
Asantha De Mel – Chairman
Brendon Kuruppu
Hemantha Wickramaratne
Chaminda Mendis https://t.co/Gk7DPq09rZ"
2018-11-25T12:04:26+00:00,OfficialSLC,"At Day 3 Stumps Sri Lanka 240 &amp; 54/4 (17 ovs) need 274 runs to win. Kusal Mendis (15*) at the crease with nightwatchman Lakshan Sandakan (1*)
#SLvENG https://t.co/yWmwHF0pVj"
2018-11-25T10:39:21+00:00,OfficialSLC,💯 wickets in Sri Lanka for Dilruwan Perera - the quickest to reach the landmark. #SLvENG https://t.co/SS3LGYLg8p
2018-11-25T10:30:57+00:00,OfficialSLC,"Innings break: england 336 &amp; 230 all-ot (69.5 ov) Jos Buttler 64, Dilruwan Perera 5/88, Pushpakumara 3/28, Sandakan 2/76. 
Sri Lanka need 327 to win! #SLvENG 
LIVE ON: https://t.co/z5pdBVPK4n (Only in SL) https://t.co/5asidPt2at"
2018-11-25T04:39:09+00:00,OfficialSLC,"3rd Test : Day 3 - England tour of Sri Lanka 2018 
LIVE ON: https://t.co/z5pdBVPK4n (Only in SL) #SLvENG"
2018-11-24T11:34:40+00:00,OfficialSLC,"Day 2 Stumps: Sri Lanka bowled out for 240 ( Karunaratne 83, Dhananjaya de Silva 73, Rashid 5/49,Stokes 3/30) England 336 &amp; 3/0 (4.0 Ovs, Jennings  1*, Burns 2*) lead by 99 runs. #SLvENG https://t.co/4sCBwHpwUO"
2018-11-24T06:32:30+00:00,OfficialSLC,"Day 2 Lunch, Sri Lanka 74/1 (22 ovs) Dimuth Karunaratne 28*, Dhananjaya de Silva 28*.
England earlier folded for 336, adding only 24 runs to their overnight score, Sandakan 5/95. #SLvENG https://t.co/rcIosBxhJH"
2018-11-24T04:35:34+00:00,OfficialSLC,"3rd Test : Day 2 - England tour of Sri Lanka 2018 
 LIVE ON: https://t.co/E5tRyRLGjf #SLvENG"
2018-11-23T09:17:17+00:00,OfficialSLC,"Day 1: Tea Break - England 197/3 (55 ovs) Bairstow 81*, Stokes 38* #SLvENG https://t.co/XYm005JT14"
2018-11-23T06:35:47+00:00,OfficialSLC,"England lost both their openers in the first session of the day 1, At Lunch England on 102/2 (26 ovs) Bairstow 42*, Root 28*. #slvENG https://t.co/KIiurJc6Mv"
2018-11-23T04:12:01+00:00,OfficialSLC,"3rd Test, England won the toss and elected to bat first.
For Sri Lanka, Danushka Gunathilaka and Lakshan Sandakan replace Kaushal Silva and Akila Dananjaya.
LIVE ON:https://t.co/NsjePLkuBj (Only in SL) #SLvENG"
2018-11-21T15:08:00+00:00,OfficialSLC,"Dhanushka Gunathilake will come in as the replacement for Chandimal for the 3rd and the final Test to be played at the SSC grounds starting Friday.

Uncapped off-spinner Nishan Peiris has been drafted in to the squad as a replacement for Akila Dananjaya #SLvENG https://t.co/H3Yi1IyLFA"
2018-11-18T04:56:50+00:00,OfficialSLC,"England won the second Test by 57 runs and take 2-0 unassailable lead in the series. 
ENG 290 &amp; 346 vs SL 336 &amp; 243-all out (74.0 Ovs, Mathews 88,  Karunaratne 57, Leach 5/83, Ali 4/72) #SLvENG https://t.co/RNxm3Ntisl"
2018-11-18T04:31:10+00:00,OfficialSLC,"2nd Test, Day 5 - LIVE ON - https://t.co/vDcEhYdb4C (Only in SL) #SLvENG"
2018-11-18T03:44:18+00:00,OfficialSLC,"Happy Birthday to Sri Lankan Skipper, Dinesh Chandimal! https://t.co/OaTDdDucZE"
2018-11-17T11:31:04+00:00,OfficialSLC,"Day 4, Stumps: Sri Lanka need 75 more runs to win with only three wickets in hand. 
SL 336 &amp; 226/7 (65.2 Ovs) Niroshan Dickwella 27*. #SLvENG"
2018-11-17T06:35:10+00:00,OfficialSLC,"Day 4, Lunch: Sri Lanka 336 &amp; 93/3, chasing 301. Dimuth Karunaratne 54*, Angelo Mathews  28*. Sri Lanka need 208 runs to win. #SLvENG https://t.co/Zfecbp8Xta"
2018-11-17T04:49:46+00:00,OfficialSLC,"2nd Test, Day 4 - England tour of Sri Lanka 2018 
LIVE ON: https://t.co/KCXwvNUG2k (Only in SL) #SLvENG"
2018-11-17T02:33:31+00:00,OfficialSLC,"Happy Birthday to Roshen Silva, he turns 30 today! https://t.co/fkwnwBwIG3"
2018-11-16T11:36:40+00:00,OfficialSLC,"England lead by 278 as rain forces early stumps, ENG 290 &amp; 324/9 (76.0 Ovs) Ben Foakes 51*, James Anderson 4* : Akila Dananjaya 6/106, Dilruwan Perera 2/87. #SLvENG https://t.co/uprKcvUjh1"
2018-11-16T09:14:42+00:00,OfficialSLC,"England stretch their lead beyond 200 in post-Lunch session on Day 3. At Tea: ENG 290 &amp;  259/6 (59.0 Ovs) Joe Root 98*, Ben Foakes 19 : Akila Dananjaya 3/77, Dilruwan Perera 2/81. #SLvENG https://t.co/DuBOKIkfit"
2018-11-16T04:51:39+00:00,OfficialSLC,2nd Test : Day 3 - England tour of Sri Lanka 2018 - LIVE ON - https://t.co/Ru0LuVNgFG (Only in SL) #SLvENG
2018-11-15T11:42:59+00:00,OfficialSLC,"Day 2, Stumps: Sri Lanka gain a first innings lead of 46 runs. SL 336 v ENG 290, 0/0 (1.0 Ovs) Roshen Silva 85, Dimuth Karunaratne 63, Dhananjaya de Silva 59 : Jack Leach 3/70, Adil Rashid 3/75.  #SLvENG https://t.co/0A63Zd7l9T"
2018-11-15T09:18:15+00:00,OfficialSLC,"At Tea on Day 2, Sri Lanka 244/7 (78 ovs) trail by 41 runs. Roshen Silva 46*, Dilruwan Perera 11*.  #SLvENG https://t.co/QTp1yZWs0O"
2018-11-15T04:32:27+00:00,OfficialSLC,"2nd Test, Day 2 - LIVE ON : https://t.co/z5DsrhcpQF (Only in SL) #SLvENG"
2018-11-15T04:02:44+00:00,OfficialSLC,A first win of ICC World Twenty20 for Sri Lanka - watch the highlights of SL Womens clash with Bangladesh Womens. #WT20
