Date,Username,Tweet
2018-11-30T03:03:30+00:00,windiescricket,"WINDIES Playing XI: Kraigg Brathwaite (Captain), Devendra Bishoo, Kieran Powell, Roston Chase, Shai Hope, Shane Dowrich, Sunil Ambris, Shimron Hetmyer, Jomel Warrican, Kemar Roach, Shermon Lewis
#WindiesCricket #ItsOurGame"
2018-11-30T03:02:45+00:00,windiescricket,Bangladesh have won the toss and elected to bat first vs the WINDIES in the 2nd Test at the Sher-E-Bangla National Cricket Stadium in Dhaka https://t.co/RPrYMlzYUV
2018-11-29T22:18:13+00:00,windiescricket,Do YOU know anything about Jahmar Hamilton? Kraigg Brathwaite(@K_Brathwaite) is going to help us find out.. #WindiesCricket #ItsOurGame #BANvsWI https://t.co/up0Sd6u0Bp
2018-11-29T21:52:32+00:00,windiescricket,Skipper Kraigg Brathwaite and Shimron Hetmyer give us an update on what's been happening in the camp before their 2nd Test against Bangladesh. #WindiesCricket #ItsOurGame #BANvsWI https://t.co/rpqgBnycHh
2018-11-29T16:26:36+00:00,windiescricket,@CRaghavendraYa1 Thanks for the best wishes and support. #Rally #WindiesCricket
2018-11-29T16:21:53+00:00,windiescricket,#TourDiaries Preparing for the spin deliveries🏏. Wicketkeeper Jahmar Hamilton gives us a special preview into the WINDIES practice in preparation for the 2nd Test against Bangladesh. #WindiesCricket #ItsOurGame #BANvsWI #LetsGoWindies https://t.co/nrcntrPRl6
2018-11-29T16:17:36+00:00,windiescricket,"#TourDiaries Shimron Hetmyer caught up with legbreak bowler, Devendra Bishoo to discuss his preparation for the 2nd Test against Bangladesh plus more!
#WINDIESTourDiaries #WindiesCricket #ItsOurGame #BANvsWI https://t.co/TGl7y7meKT"
2018-11-28T19:24:22+00:00,windiescricket,"Stay in the know with everything WINDIES! 
Take a look at our last episode of The Windies Insider!
#WindiesCricket #ItsOurGame
https://t.co/YwUNQdgDJv"
2018-11-28T14:06:02+00:00,windiescricket,WINDIES Men are back at training ahead of the 2nd test match against Bangladesh! Match Time 📅: Friday 9:30am local time. (Thursday 11:30pm AST and 10:30pm EST).  #WindiesCricket #ItsOurGame #LetsGoWindies #BANvsWI https://t.co/6F4vLDF1xF
2018-11-27T22:14:06+00:00,windiescricket,We congratulate Deandra Dottin on her stellar performance in the 2018 ICC @WorldT20!🏏👏👏 #WindiesCricket #ItsOurGame #WorldBoss5 https://t.co/IufxsHpB2L
2018-11-27T18:41:40+00:00,windiescricket,"Akeem Jordan you beaut! What a moment of the #Super50Cup Watch and relive one of the best Super50 Fast Bowling Spells! 

Link below!
https://t.co/EVVQySnUgu"
2018-11-26T16:44:36+00:00,windiescricket,"After losing the 1st Test by 64 runs to Bangladesh the men were back in training. They had a special visitor in CWI's Director of Cricket and former WINDIES Captain Jimmy Adams who gave the batsmen a few pointers.
#WIvBAN #WindiesCricket #ItsOurGame https://t.co/L122Ua0PZX"
2018-11-26T13:51:34+00:00,windiescricket,"The President is heaping praise on Tournament Director, Jennifer Nero and her team on a well-run series of events. “We have shown the world our abilities as a cricketing destination on and off the field of play.” https://t.co/Jm0ki6sS6i https://t.co/71DrVN7BBk"
2018-11-24T15:56:01+00:00,windiescricket,Antigua! 500 tickets for tonight’s #WT20 final have just been released! Tickets are available at the ticket booth at the Sir Richards Cricket Ground or via https://t.co/FjJClotp67! #WatchThis
2018-11-24T08:21:11+00:00,windiescricket,"Bangladesh win by 64 runs after a 9th wicket fight back from the WINDIES. 
WI 2nd innings 
139 all out
Gabriel 0*
Ambris 43, Warrican 41

Taijul 6/33 Mehidy 2/20, Shakib 2/27
#WIvBAN"
2018-11-24T06:44:52+00:00,windiescricket,"Dowrich- 5- LBW Taijul
WI 51/6
Ambris 8*
New batsman Devendra Bishoo
Target 204
#WIvBAN"
2018-11-24T06:29:18+00:00,windiescricket,"Hetmyer- 27- c. Nayeem b. Mehidy
WI 44/5
Ambris 6*
New batsman Shane Dowrich
Target 204
#WIvBAN"
2018-11-24T05:31:29+00:00,windiescricket,"Chase-0- LBW Taijul
WI 11/4
Ambris 0*
Target 204
#WIvBAN"
2018-11-24T05:27:34+00:00,windiescricket,"Brathwaite- 8- LBW Taijul
WI 11/3
Ambris 0*
New batsman Roston Chase
Target 204
#WIvBAN"
2018-11-24T05:24:03+00:00,windiescricket,"Hope-3- c. Mushfiqur b. Shakib
WI 11/2
Brathwaite 8*
New batsman Sunil Ambris
Target 204
#WIvBAN"
2018-11-24T05:16:05+00:00,windiescricket,"Powell- 0- b. Shakib
WI 5/1
Brathwaite 5*
New batsman Shai Hope
Target 204
#WIvBAN"
2018-11-24T05:00:20+00:00,windiescricket,"2nd Innings End
BAN 125/all out
Mustafizur 2*
Mahmudullah 31, Mushfiqur 19, Mehidy 18

Bishoo 4/26, Chase 3/18, Warrican 2/43

Target 203
#WIvBAN"
2018-11-24T04:52:45+00:00,windiescricket,"Wicket!
Mahmudullah- c. Hope b. Bishoo 31
BAN 123/9
Taijul 1*
New batsman Mustafizur Rahman 
Lead 201
#WIvBAN"
2018-11-24T04:24:52+00:00,windiescricket,"Wicket!
Mehidy caught off Bishoo for 18
BAN 106/7
Mahmudullah 20*
New batsman Nayeem Hasan
Lead 184
#WIvBAN"
2018-11-24T03:41:14+00:00,windiescricket,"Timber!!!! 
Gabriel uproots Mushfiqur's stumps for 19
BAN 69/6
Mehidy 5* 
New batsman Mahmudullah
Lead 147
#WIvBAN"
2018-11-23T16:36:41+00:00,windiescricket,Thank you for inspiring us all @stafanie07
2018-11-23T16:29:15+00:00,windiescricket,"Not the result they hoped for but the WINDIES Women had lots to say about their Captain who led them undefeated into the Semi-Finals of the #WT20. #WatchWI

Click the link below.
⬇️⬇️⬇️⬇️⬇️⬇️⬇️
https://t.co/Qj9A21CtbE https://t.co/XBNtnGhw0S"
2018-11-23T10:20:33+00:00,windiescricket,"And another!
Warrican gets the captain Shakib caught by Gabriel for 1
BAN 35/4
Mithun 8*
New batsman Mushfiqur Rahin
BAN Lead: 113
#WIvBAN"
2018-11-23T10:16:06+00:00,windiescricket,"Another one bites the dust and it's the big one!
Chase gets Mominul LBW for 12
BAN 32/3
Mithun 6* 
New batsman Shakib al Hasan
BAN Lead 110
#WIvBAN"
2018-11-23T09:55:13+00:00,windiescricket,"Brathwaite takes a juggler in slip to remove Sarkar for 11 off Chase
BAN 13/2
Mominul 0*
New batsman Muhammad Mithun 
Lead 91
#WIvBAN"
2018-11-23T09:49:15+00:00,windiescricket,"Wicket!
Imrul Kayes bowled by Warrican for 2
BAN 2nd Innings 13/1
Sarkar 11*
Lead 91
#WIvBAN"
2018-11-23T09:32:47+00:00,windiescricket,"Gabriel falls to Shakib for 6
Innings End:
WI 246/all out
Dowrich 63*
Hetmyer 63, Chase 31, Ambris 19

Naeem 5/6, Shakib 3/43

BAN lead by 78
#WIvBAN"
