Date,Username,Tweet
2018-11-26T13:46:10+00:00,windieswomen,"“On behalf of the entire CWI Team, I want to congratulate all the people (operations, technical, marketing, commercial, facilities, security) who participated in the Championship, making it the success it has turned out to be. https://t.co/ePlHQNSPmS https://t.co/gJcx2Ybqhe"
2018-11-26T10:22:12+00:00,windieswomen,Congratulations to @Dottin_5 on being named in the @ICC #WT20 Team of the tournament. 👏🏼👏🏼 #WatchThis #WatchWI https://t.co/P0aXLy85N3
2018-11-25T14:10:53+00:00,windieswomen,Well said Skip!
2018-11-23T15:30:59+00:00,windieswomen,We thank the #Caribbean and the #Windies cricket fans around the world.
2018-11-20T20:08:53+00:00,windieswomen,Happy Birthday Alzarri
2018-11-20T19:56:16+00:00,windieswomen,If you wondered what @mealz_14 is considering as part of her future plans - here she is with her team. #WatchWI @WatchThis #WT20 https://t.co/4MZH1f5yrB
2018-11-20T19:31:07+00:00,windieswomen,"Big semi-final match up in 🇦🇬this Thursday, November 22 at 4pm - #WatchWI #WatchThis https://t.co/ecI30p4zuB"
2018-11-20T14:47:42+00:00,windieswomen,We would like to thank all our Patrons and Ambasadors for the tremendous support for the #WT20 - let's #rally for the semi-finals and FINAL this Thursday &amp; Saturday in 🇦🇬#WatchThis
2018-11-20T14:43:53+00:00,windieswomen,The officials have been named for the semi-final #WT20 #WatchThis https://t.co/n0KU6tud01 via @ICC
2018-11-20T14:22:39+00:00,windieswomen,"Our Ladies are in 🇦🇬we got a few snaps of them at the VC Bird Int'l @MyNameIs_Hayley @mealz_14 #Qiana - The semi-final vs Australia is on Thursday, November 22 at 4pm ECT https://t.co/Jkkbme5rZD"
2018-11-20T14:10:30+00:00,windieswomen,"Records, crowds, wickets and sixes: the group stage had it all https://t.co/7XVxFnCoeg featuring @Dottin_5 the DESTROYER"
2018-11-20T00:01:32+00:00,windieswomen,ICYMI: Shemaine Campbell's inning vs England in SLU on Sunday. #WatchThis #WatchWI
2018-11-19T23:56:18+00:00,windieswomen,"Ambassador for the #WT20 Sir Andy Roberts had a quick chat with Captain, @stafanie07 at the VC Bird Int'l - the ladies arrived in Antigua earlier (11/19) #WatchThis #WatchWI 🇦🇬 https://t.co/2dUPrjayWP"
2018-11-15T11:03:35+00:00,windieswomen,Watch @windieswomen vs @OfficialCSA highlights from SLU #WatchThis #WT20 https://t.co/sBUlCelcEA
2018-11-15T11:00:15+00:00,windieswomen,Fans supporting the @windieswomen vs #SouthAfrica #WatchThis
2018-11-15T10:59:06+00:00,windieswomen,"Stafanie Taylor, the Windies captain, led from the front with the ball as the hosts successfully defended their modest 107/7 by 31 runs against South Africa to get their second win of the ICC Women's World T20 2018 https://t.co/jjwVtfSSo5"
2018-11-15T10:58:08+00:00,windieswomen,"Stafanie Taylor, whose 4/12 helped the Windies trump South Africa by 31 runs, said that she was confident of grabbing the ball and getting her team the breakthroughs https://t.co/2J4MkzTXBK"
2018-11-14T23:38:25+00:00,windieswomen,#WT20: South Africa has won the toss and decided to bowl first against our WINDIES Women! The action starts at 8PM! #WatchThis #WatchWI 🏏 https://t.co/Oux3gqangn
2018-11-14T23:07:28+00:00,windieswomen,"The WINDIES Women have arrived at the Daren Sammy Cricket Stadium and Afy Fletcher has a special message for her mom, Doris. 🎉 #WIReady to take on South Africa at 8PM! #WT20 #WatchThis #WatchWI 🏏 https://t.co/yek8mGLMBx"
2018-11-14T11:33:22+00:00,windieswomen,100 T20Is for @14anisa - let's go!
2018-11-14T11:19:25+00:00,windieswomen,Delighted Anisa Mohammed poised to play historic 100th T20 https://t.co/2g4YkFz2qL via @jamaicaobserver
2018-11-09T18:12:49+00:00,windieswomen,From our patron @annmarievazja we thank you
2018-11-09T16:54:37+00:00,windieswomen,The inside story of West Indies Women's World T20 win in 2016 https://t.co/EM59MVHoBR via @bbcsport
2018-11-08T20:12:50+00:00,windieswomen,Hayley Matthews named Vice Captain; Qiana Joseph replaces Sheneta Grimmond https://t.co/efj35N72ih https://t.co/IvUaaC796v
2018-11-02T18:48:37+00:00,windieswomen,DOTTIN TOP SCORES WITH 43* TO SEE WINDIES THROUGH TO EXHIBITION MATCH WIN https://t.co/0vUXdPnBXG @windiescricket
